BLOCK_SIZE = 1
Symmetric Diagonal
      2048	         0	  0.481197	  0.384758
      4096	         0	   1.93715	   1.54959
      8192	         0	   7.75228	   6.16213
Symmetric Off-Diagonal
         0	         0	     1e-06	     1e-06
         1	         0	     1e-06	     1e-06
         2	         0	     2e-06	     1e-06
         4	         0	     4e-06	     4e-06
         8	         0	   1.5e-05	   1.2e-05
        16	         0	   6.1e-05	   4.8e-05
        32	         0	  0.000237	  0.000184
        64	         0	  0.000957	  0.000757
       128	         0	  0.003761	   0.00302
       256	         0	  0.015052	  0.012227
       512	         0	  0.060158	  0.048089
      1024	         0	  0.240549	  0.192626
      2048	         0	  0.965631	  0.774858
      4096	         0	   3.86911	   3.09797
      8192	         0	   15.4935	   12.4422
Asymmetric off-diagonal
         1	         0	     1e-06	     2e-06
         2	         0	     1e-06	     1e-06
         4	         0	     3e-06	     3e-06
         8	         0	   1.4e-05	   1.1e-05
        16	         0	   5.2e-05	   4.5e-05
        32	         0	  0.000205	  0.000181
        64	         0	  0.000815	    0.0007
       128	         0	  0.003216	   0.00283
       256	         0	  0.012751	  0.011223
       512	         0	  0.050972	  0.044843
      1024	         0	  0.203917	  0.178974
      2048	         0	  0.817596	  0.722963
      4096	         0	   3.27427	   2.88088
      8192	         0	   13.1173	   11.6804
BLOCK_SIZE = 16
Symmetric Diagonal
         1	         0	     4e-06	     1e-06
         2	         0	     1e-06	     1e-06
         4	         0	     3e-06	     2e-06
         8	         0	     8e-06	     7e-06
        16	         0	   3.1e-05	   2.5e-05
        32	         0	  0.000121	   9.6e-05
        64	         0	  0.000474	  0.000376
       128	         0	  0.001923	   0.00151
       256	         0	  0.007544	  0.005928
       512	         0	  0.030116	  0.024239
      1024	         0	  0.120186	  0.095572
      2048	         0	  0.481287	  0.383915
      4096	         0	   1.99232	   1.53368
      8192	         0	   7.75868	   6.13914
Symmetric Off-Diagonal
         0	         0	     1e-06	     1e-06
         1	         0	     1e-06	         0
         2	         0	     2e-06	     1e-06
         4	         0	     4e-06	     3e-06
         8	         0	   1.6e-05	   1.2e-05
        16	         0	     6e-05	   4.7e-05
        32	         0	  0.000238	  0.000186
        64	         0	  0.000953	   0.00073
       128	         0	  0.003769	  0.003045
       256	         0	  0.015062	  0.011934
       512	         0	  0.060159	  0.048567
      1024	         0	  0.246502	  0.190429
      2048	         0	  0.966341	  0.766302
      4096	         0	   3.87221	   3.07395
      8192	         0	   15.4763	   12.2833
Asymmetric off-diagonal
         1	         0	     1e-06	     1e-06
         2	         0	     1e-06	     1e-06
         4	         0	     3e-06	     3e-06
         8	         0	   1.4e-05	   1.1e-05
        16	         0	   5.2e-05	   4.4e-05
        32	         0	  0.000205	  0.000174
        64	         0	  0.000813	  0.000694
       128	         0	  0.003193	  0.002777
       256	         0	  0.012892	  0.011222
       512	         0	  0.050974	  0.044533
      1024	         0	   0.20422	  0.177995
      2048	         0	  0.817491	   0.71043
      4096	         0	   3.27544	   2.87043
      8192	         0	   13.0975	   11.4915
BLOCK_SIZE = 32
Symmetric Diagonal
         1	         0	     4e-06	     1e-06
         2	         0	     1e-06	     1e-06
         4	         0	     3e-06	     2e-06
         8	         0	     8e-06	     7e-06
        16	         0	   3.2e-05	   2.6e-05
        32	         0	  0.000122	   9.9e-05
        64	         0	  0.000482	  0.000394
       128	         0	  0.001902	  0.001505
       256	         0	  0.007427	  0.005946
       512	         0	  0.029616	  0.024153
      1024	         0	  0.118411	  0.095211
      2048	         0	  0.473343	  0.385294
      4096	         0	   1.90351	   1.53824
      8192	         0	      7.61	   6.14437
Symmetric Off-Diagonal
         0	         0	     1e-06	         0
         1	         0	     1e-06	     1e-06
         2	         0	     2e-06	     2e-06
         4	         0	     5e-06	     4e-06
         8	         0	   1.9e-05	   1.6e-05
        16	         0	   7.3e-05	   5.9e-05
        32	         0	   0.00029	  0.000236
        64	         0	  0.001157	  0.000941
       128	         0	  0.004505	  0.003507
       256	         0	  0.015075	   0.01189
       512	         0	    0.0602	  0.047821
      1024	         0	  0.240945	  0.189699
      2048	         0	  0.967493	  0.763157
      4096	         0	   3.87115	   3.05809
      8192	         0	   15.4881	   12.2196
Asymmetric off-diagonal
         1	         0	     1e-06	     1e-06
         2	         0	     1e-06	     1e-06
         4	         0	     4e-06	     3e-06
         8	         0	   1.4e-05	   1.2e-05
        16	         0	   5.4e-05	   4.6e-05
        32	         0	  0.000215	  0.000181
        64	         0	  0.000851	  0.000717
       128	         0	  0.003353	    0.0029
       256	         0	  0.013157	  0.011092
       512	         0	  0.051214	  0.044837
      1024	         0	  0.204943	  0.177913
      2048	         0	  0.820389	  0.710228
      4096	         0	   3.28277	    2.8399
      8192	         0	   13.1291	   11.4099
BLOCK_SIZE = 64
Symmetric Diagonal
         1	         0	     9e-06	     3e-06
         2	         0	     3e-06	     3e-06
         4	         0	     7e-06	     5e-06
         8	         0	   7.7e-05	   1.7e-05
        16	         0	   3.1e-05	   2.5e-05
        32	         0	  0.000121	   9.6e-05
        64	         0	  0.000476	  0.000378
       128	         0	  0.001906	   0.00149
       256	         0	  0.007544	  0.006064
       512	         0	  0.030094	  0.023708
      1024	         0	  0.121224	  0.096942
      2048	         0	  0.485196	   0.38244
      4096	         0	   1.93284	   1.53144
      8192	         0	   7.73267	   6.07674
Symmetric Off-Diagonal
         0	         0	     1e-06	     1e-06
         1	         0	     1e-06	     1e-06
         2	         0	     2e-06	     1e-06
         4	         0	     5e-06	     4e-06
         8	         0	   1.6e-05	   1.2e-05
        16	         0	     6e-05	   4.8e-05
        32	         0	  0.000236	  0.000189
        64	         0	  0.000936	  0.000759
       128	         0	  0.003736	  0.002971
       256	         0	  0.014938	  0.011948
       512	         0	  0.059672	  0.048282
      1024	         0	  0.240919	  0.189709
      2048	         0	  0.959125	  0.764019
      4096	         0	    3.8253	   3.05366
      8192	         0	   15.3019	   11.9487
Asymmetric off-diagonal
         1	         0	     1e-06	     2e-06
         2	         0	     2e-06	     1e-06
         4	         0	     3e-06	     3e-06
         8	         0	   1.3e-05	   1.1e-05
        16	         0	   5.1e-05	   4.4e-05
        32	         0	  0.000202	  0.000175
        64	         0	  0.000801	  0.000695
       128	         0	  0.003195	  0.002767
       256	         0	  0.012806	  0.011067
       512	         0	  0.051556	  0.044729
      1024	         0	  0.204396	  0.177682
      2048	         0	  0.819578	  0.708733
      4096	         0	   3.27545	   2.83513
      8192	         0	   13.1026	   11.4933
BLOCK_SIZE = 128
Symmetric Diagonal
         1	         0	     4e-06	     1e-06
         2	         0	     1e-06	     1e-06
         4	         0	     3e-06	     2e-06
         8	         0	     9e-06	     6e-06
        16	         0	   3.3e-05	   2.5e-05
        32	         0	  0.000128	   9.7e-05
        64	         0	  0.000501	  0.000381
       128	         0	  0.002013	  0.001512
       256	         0	  0.007458	  0.005907
       512	         0	   0.02964	  0.023871
      1024	         0	  0.118513	  0.093968
      2048	         0	    0.4732	  0.382615
      4096	         0	   1.90565	   1.53089
      8192	         0	   7.61693	   6.22332
Symmetric Off-Diagonal
         0	         0	     1e-06	     1e-06
         1	         0	         0	         0
         2	         0	     1e-06	     1e-06
         4	         0	     5e-06	     4e-06
         8	         0	   1.7e-05	   1.3e-05
        16	         0	   6.3e-05	     5e-05
        32	         0	   0.00025	  0.000197
        64	         0	  0.000994	  0.000796
       128	         0	  0.003972	  0.003172
       256	         0	  0.015192	  0.011597
       512	         0	  0.060261	  0.047414
      1024	         0	  0.240894	  0.189214
      2048	         0	  0.966825	  0.778175
      4096	         0	   3.86798	   3.05343
      8192	         0	    15.465	   12.1976
Asymmetric off-diagonal
         1	         0	     1e-06	     1e-06
         2	         0	     1e-06	     1e-06
         4	         0	     4e-06	     3e-06
         8	         0	   1.4e-05	   1.1e-05
        16	         0	   5.2e-05	   4.4e-05
        32	         0	  0.000207	  0.000174
        64	         0	  0.000823	  0.000691
       128	         0	   0.00322	  0.002768
       256	         0	  0.012788	  0.011224
       512	         0	  0.051146	  0.044317
      1024	         0	   0.20446	  0.177148
      2048	         0	  0.818682	  0.710412
      4096	         0	   3.27793	   2.87169
      8192	         0	   13.1094	   11.3505
BLOCK_SIZE = 256
Symmetric Diagonal
         1	         0	     4e-06	     1e-06
         2	         0	     1e-06	     1e-06
         4	         0	     2e-06	     3e-06
         8	         0	     9e-06	     7e-06
        16	         0	   3.2e-05	   2.5e-05
        32	         0	  0.000124	   9.9e-05
        64	         0	  0.000826	   0.00095
       128	         0	  0.004822	  0.003818
       256	         0	  0.009442	  0.006091
       512	         0	  0.030304	  0.024157
      1024	         0	  0.121534	  0.094807
      2048	         0	  0.482921	  0.383637
